series,Units,date,price
Mexico  - Mexico Region,peso/kg,2024-05-01,18.125795
Mexico  - Mexico City,peso/kg,2024-05-01,17.787959999999998
Mozambique,metical/kg,2024-05-01,86.05
Nepal (14.2 kg cylinders),NPR/cylinder,2024-05-01,1910.0
Nicaragua (LPG 25lb),córdobas/cylinder,2024-05-01,452.4264705882353
Niger (12.5 kg cylinder),XOF/cylinder,2024-05-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2024-05-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2024-05-01,1800.0
Niger (per kg),XOF/kg,2024-05-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2024-05-01,7644.547919500001
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2024-05-01,7514.476495
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2024-05-01,7750.8342125
Peru (10kg),soles/cylinder,2024-05-01,50.12200188170908
Peru (15kg),soles/cylinder,2024-05-01,77.97424920127797
Peru (3kg),soles/cylinder,2024-05-01,19.555555555555557
Peru (45kg),soles/cylinder,2024-05-01,214.18571995764887
Peru (5kg),soles/cylinder,2024-05-01,27.51846568627451
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2024-05-01,19.85
Senegal (6kg cylinder),XOF/cylinder,2024-05-01,2885.0
South Africa - Coastal Regions,South African cents/kg,2024-05-01,3470.0
South Africa - Gauteng Region,South African cents/kg,2024-05-01,3766.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2024-05-01,22.98007741935484
Thailand (LPG cooking) - Retail Price,Baht/kg,2024-05-01,25.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2024-05-01,22.98007741935484
Thailand (LPG industry) - Retail Price,Baht/kg,2024-05-01,25.8667
Uruguay,UYU/kg,2024-05-01,80.75
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2024-05-01,70.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2024-05-01,280.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2024-05-01,30.0
Zimbabwe,USD/L,2024-05-01,1.89
Angola (LPG) ,kwanzas/kg,2024-06-01,100.0
Bangladesh (12kg cylinder),Tk/cylinder,2024-06-01,1363.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2024-06-01,34.97
Belize (100 lbs),BEL$/cylinder,2024-06-01,115.08
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2024-06-01,10667.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2024-06-01,5757.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2024-06-01,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2024-06-01,101.46
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2024-06-01,94.94
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2024-06-01,93.31
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2024-06-01,5500.0
Cabo Verde (per kg), ECV/Kg,2024-06-01,132.9
Cameroon (12.5kg cylinder),XAF/cylinder,2024-06-01,6500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2024-06-01,13404.0
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2024-06-01,13321.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2024-06-01,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2024-06-01,80.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2024-06-01,16.0
Egypt (LGP 12.5kg),EGP/cylinder,2024-06-01,100.0
Egypt (LGP 25kg),EGP/cylinder,2024-06-01,140.0
El Salvador (10 lbs)- commercial,US$/cylinder,2024-06-01,4.68
El Salvador (10 lbs)- hh,US$/cylinder,2024-06-01,0.0
El Salvador (20 lbs)- commercial,US$/cylinder,2024-06-01,9.09
El Salvador (20 lbs)- hh,US$/cylinder,2024-06-01,0.94
El Salvador (25 lbs) - commercial,US$/cylinder,2024-06-01,11.27
El Salvador (25 lbs) - hh,US$/cylinder,2024-06-01,3.09
El Salvador (35 lbs) - commercial,US$/cylinder,2024-06-01,15.7
El Salvador (35 lbs) - hh,US$/cylinder,2024-06-01,7.46
French Guiana ,EUR per 12.5 kg bottle,2024-06-01,21.41
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2024-06-01,41.47
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2024-06-01,15.55
Fiji (LPG per kg wholesale),Fiji dollar per kg,2024-06-01,3.2
Gabon (12.5kg cylinder),XAF/cylinder,2024-06-01,4950.0
Ghana (based on biweekly price survey),GHS/kg,2024-06-01,15.210643122635433
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2024-06-01,40.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2024-06-01,115.0
Honduras (LPG 25lb),HNL/cylinder,2024-06-01,238.13
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2024-06-01,803.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2024-06-01,803.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2024-06-01,299.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2024-06-01,299.5
Jamaica (Butane),JMD/liter,2024-06-01,76.95939999999999
Jamaica (Propane),JMD/liter,2024-06-01,69.2636
Jordan (LPG - 12.5kg),JD/CY,2024-06-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2024-06-01,817571.4285714285
Malawi ,MWK/kg,2024-06-01,3245.0
Malaysia (10 kg cylinder),RM/cylinder,2024-06-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2024-06-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2024-06-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2024-06-01,24.07
Mauritania (12kg cylinder),MRU/cylinder,2024-06-01,30.0
Mauritius (LPG 12kg),RS/cylinder,2024-06-01,190.0
Mauritius (LPG 5kg),RS/cylinder,2024-06-01,80.0
Mauritius (LPG 6kg),RS/cylinder,2024-06-01,95.0
Mexico  - Baja California Region (Tijuana),peso/kg,2024-06-01,18.67726547124426
Mexico  - Mexico Region,peso/kg,2024-06-01,18.08443083304382
Mexico  - Mexico City,peso/kg,2024-06-01,17.762480898827
Mozambique,metical/kg,2024-06-01,86.05
Nepal (14.2 kg cylinders),NPR/cylinder,2024-06-01,1910.0
Nicaragua (LPG 25lb),córdobas/cylinder,2024-06-01,452.4264705882353
Niger (12.5 kg cylinder),XOF/cylinder,2024-06-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2024-06-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2024-06-01,1800.0
Niger (per kg),XOF/kg,2024-06-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2024-06-01,6710.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2024-06-01,7500.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2024-06-01,6900.0
Peru (10kg),soles/cylinder,2024-06-01,49.73832928713315
Peru (15kg),soles/cylinder,2024-06-01,78.87183229813664
Peru (3kg),soles/cylinder,2024-06-01,18.192307692307697
Peru (45kg),soles/cylinder,2024-06-01,212.97462287438316
Peru (5kg),soles/cylinder,2024-06-01,27.208597560975605
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2024-06-01,19.85
Senegal (6kg cylinder),XOF/cylinder,2024-06-01,2885.0
South Africa - Coastal Regions,South African cents/kg,2024-06-01,3335.0
South Africa - Gauteng Region,South African cents/kg,2024-06-01,3631.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2024-06-01,22.946793333333336
Thailand (LPG cooking) - Retail Price,Baht/kg,2024-06-01,25.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2024-06-01,22.946793333333336
Thailand (LPG industry) - Retail Price,Baht/kg,2024-06-01,25.8667
Uruguay,UYU/kg,2024-06-01,80.75
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2024-06-01,70.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2024-06-01,280.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2024-06-01,30.0
Zimbabwe,USD/L,2024-06-01,1.89
Angola (LPG) ,kwanzas/kg,2024-07-01,100.0
Bangladesh (12kg cylinder),Tk/cylinder,2024-07-01,1366.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2024-07-01,34.97
Belize (100 lbs),BEL$/cylinder,2024-07-01,117.52
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2024-07-01,10667.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2024-07-01,5757.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2024-07-01,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2024-07-01,102.59
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2024-07-01,97.11
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2024-07-01,94.31
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2024-07-01,5500.0
Cabo Verde (per kg), ECV/Kg,2024-07-01,135.5
Cameroon (12.5kg cylinder),XAF/cylinder,2024-07-01,6500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2024-07-01,13034.0
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2024-07-01,12955.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2024-07-01,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2024-07-01,80.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2024-07-01,16.0
Egypt (LGP 12.5kg),EGP/cylinder,2024-07-01,100.0
Egypt (LGP 25kg),EGP/cylinder,2024-07-01,140.0
El Salvador (10 lbs)- commercial,US$/cylinder,2024-07-01,4.61
El Salvador (10 lbs)- hh,US$/cylinder,2024-07-01,0.0
El Salvador (20 lbs)- commercial,US$/cylinder,2024-07-01,8.98
El Salvador (20 lbs)- hh,US$/cylinder,2024-07-01,0.94
El Salvador (25 lbs) - commercial,US$/cylinder,2024-07-01,11.13
El Salvador (25 lbs) - hh,US$/cylinder,2024-07-01,3.09
El Salvador (35 lbs) - commercial,US$/cylinder,2024-07-01,15.5
El Salvador (35 lbs) - hh,US$/cylinder,2024-07-01,7.46
French Guiana ,EUR per 12.5 kg bottle,2024-07-01,22.26
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2024-07-01,40.12
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2024-07-01,15.05
Fiji (LPG per kg wholesale),Fiji dollar per kg,2024-07-01,3.1
Gabon (12.5kg cylinder),XAF/cylinder,2024-07-01,4950.0
Ghana (based on biweekly price survey),GHS/kg,2024-07-01,14.856907095241906
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2024-07-01,40.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2024-07-01,110.0
Honduras (LPG 25lb),HNL/cylinder,2024-07-01,238.13
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2024-07-01,803.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2024-07-01,803.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2024-07-01,299.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2024-07-01,299.5
Jamaica (Butane),JMD/liter,2024-07-01,80.7994
Jamaica (Propane),JMD/liter,2024-07-01,73.0836
Jordan (LPG - 12.5kg),JD/CY,2024-07-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2024-07-01,867333.3333333334
Malawi ,MWK/kg,2024-07-01,3245.0
Malaysia (10 kg cylinder),RM/cylinder,2024-07-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2024-07-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2024-07-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2024-07-01,24.97
Mauritania (12kg cylinder),MRU/cylinder,2024-07-01,30.0
Mauritius (LPG 12kg),RS/cylinder,2024-07-01,190.0
Mauritius (LPG 5kg),RS/cylinder,2024-07-01,80.0
Mauritius (LPG 6kg),RS/cylinder,2024-07-01,95.0
Mexico  - Baja California Region (Tijuana),peso/kg,2024-07-01,19.9228859610777
Mexico  - Mexico Region,peso/kg,2024-07-01,19.24502155360209
Mexico  - Mexico City,peso/kg,2024-07-01,19.004905758386315
Mozambique,metical/kg,2024-07-01,86.05
Nepal (14.2 kg cylinders),NPR/cylinder,2024-07-01,1910.0
Nicaragua (LPG 25lb),córdobas/cylinder,2024-07-01,452.4264705882353
Niger (12.5 kg cylinder),XOF/cylinder,2024-07-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2024-07-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2024-07-01,1800.0
Niger (per kg),XOF/kg,2024-07-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2024-07-01,5617.7
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2024-07-01,6060.588235294118
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2024-07-01,5787.5
Peru (10kg),soles/cylinder,2024-07-01,49.91293634670712
Peru (15kg),soles/cylinder,2024-07-01,78.45768031189094
Peru (3kg),soles/cylinder,2024-07-01,18.230000000000004
Peru (45kg),soles/cylinder,2024-07-01,212.9701797752812
Peru (5kg),soles/cylinder,2024-07-01,26.97938561034759
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2024-07-01,21.85
Senegal (6kg cylinder),XOF/cylinder,2024-07-01,2885.0
South Africa - Coastal Regions,South African cents/kg,2024-07-01,3313.0
South Africa - Gauteng Region,South African cents/kg,2024-07-01,3609.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2024-07-01,23.04528064516129
Thailand (LPG cooking) - Retail Price,Baht/kg,2024-07-01,25.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2024-07-01,23.04528064516129
Thailand (LPG industry) - Retail Price,Baht/kg,2024-07-01,25.8667
Uruguay,UYU/kg,2024-07-01,80.75
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2024-07-01,70.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2024-07-01,280.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2024-07-01,30.0
Zimbabwe,ZWL/kg,2024-07-01,24.45
Zimbabwe,USD/L,2024-07-01,1.78
Angola (LPG) ,kwanzas/kg,2024-08-01,100
Bangladesh (12kg cylinder),Tk/cylinder,2024-08-01,1377
Barbados (LPG 20 lb cylinder),BDS/cylinder,2024-08-01,34.97
Belize (100 lbs),BEL$/cylinder,2024-08-01,117.43
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2024-08-01,10667
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2024-08-01,5757
Bolivia (10kg LPG bottle) ,Bs/bottle ,2024-08-01,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2024-08-01,103.53
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2024-08-01,97.38
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2024-08-01,94.46
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2024-08-01,5500
Cabo Verde (per kg), ECV/Kg,2024-08-01,144.2
Cameroon (12.5kg cylinder),XAF/cylinder,2024-08-01,6500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2024-08-01,13551.4925373134
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2024-08-01,13588
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2024-08-01,2000
Curacao (100 lb bottle),NAF per 100 lb bottle,2024-08-01,80
Curacao (20 lb bottle),NAF per 20 lb bottle,2024-08-01,16
Egypt (LGP 12.5kg),EGP/cylinder,2024-08-01,100
Egypt (LGP 25kg),EGP/cylinder,2024-08-01,140
El Salvador (10 lbs)- commercial,US$/cylinder,2024-08-01,4.61
El Salvador (10 lbs)- hh,US$/cylinder,2024-08-01,0
El Salvador (20 lbs)- commercial,US$/cylinder,2024-08-01,8.98
El Salvador (20 lbs)- hh,US$/cylinder,2024-08-01,0.94
El Salvador (25 lbs) - commercial,US$/cylinder,2024-08-01,11.13
El Salvador (25 lbs) - hh,US$/cylinder,2024-08-01,3.09
El Salvador (35 lbs) - commercial,US$/cylinder,2024-08-01,15.5
El Salvador (35 lbs) - hh,US$/cylinder,2024-08-01,7.46
French Guiana ,EUR per 12.5 kg bottle,2024-08-01,22.98
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2024-08-01,39.28
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2024-08-01,14.73
Fiji (LPG per kg wholesale),Fiji dollar per kg,2024-08-01,3.03
Gabon (12.5kg cylinder),XAF/cylinder,2024-08-01,4950
Ghana (based on biweekly price survey),GHS/kg,2024-08-01,15.128991375386741
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2024-08-01,40
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2024-08-01,110
Honduras (LPG 25lb),HNL/cylinder,2024-08-01,238.13
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2024-08-01,803
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2024-08-01,803
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2024-08-01,299.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2024-08-01,299.5
Jamaica (Butane),JMD/liter,2024-08-01,80.64439999999999
Jamaica (Propane),JMD/liter,2024-08-01,71.9116
Jordan (LPG - 12.5kg),JD/CY,2024-08-01,7
Malawi ,MWK/kg,2024-08-01,3245
Malaysia (10 kg cylinder),RM/cylinder,2024-08-01,19
Malaysia (12kg cylinder),RM/cylinder,2024-08-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2024-08-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2024-08-01,25.66
Mauritania (12kg cylinder),MRU/cylinder,2024-08-01,30
Mauritius (LPG 12kg),RS/cylinder,2024-08-01,190
Mauritius (LPG 5kg),RS/cylinder,2024-08-01,80
Mauritius (LPG 6kg),RS/cylinder,2024-08-01,95
Mexico  - Baja California Region (Tijuana),peso/kg,2024-08-01,19.86293844317484
Mexico  - Mexico Region,peso/kg,2024-08-01,19.238797291006932
Mexico  - Mexico City,peso/kg,2024-08-01,19.017956674351936
Mozambique,metical/kg,2024-08-01,86.05
Nicaragua (LPG 25lb),córdobas/cylinder,2024-08-01,452.4264705882353
Niger (12.5 kg cylinder),XOF/cylinder,2024-08-01,3750
Niger (3 kg cylinder),XOF/cylinder,2024-08-01,900
Niger (6 kg cylinder),XOF/cylinder,2024-08-01,1800
Niger (per kg),XOF/kg,2024-08-01,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2024-08-01,5825
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2024-08-01,6677.777777777777
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2024-08-01,6350
Peru (10kg),soles/cylinder,2024-08-01,55.715053763440864
Peru (15kg),soles/cylinder,2024-08-01,ministry stops reporting this fuel
Peru (3kg),soles/cylinder,2024-08-01,ministry stops reporting this fuel
Peru (45kg),soles/cylinder,2024-08-01,206.61044176706827
Peru (5kg),soles/cylinder,2024-08-01,25.75
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2024-08-01,21.85
Senegal (6kg cylinder),XOF/cylinder,2024-08-01,2885
South Africa - Coastal Regions,South African cents/kg,2024-08-01,2399
South Africa - Gauteng Region,South African cents/kg,2024-08-01,3595
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2024-08-01,22.621674193548387
Thailand (LPG cooking) - Retail Price,Baht/kg,2024-08-01,25.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2024-08-01,22.621674193548387
Thailand (LPG industry) - Retail Price,Baht/kg,2024-08-01,25.8667
Uruguay,UYU/kg,2024-08-01,80.75
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2024-08-01,70
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2024-08-01,280
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2024-08-01,30
Zimbabwe,ZWL/kg,2024-08-01,24.45
Zimbabwe,USD/L,2024-08-01,1.78
Angola (LPG) ,kwanzas/kg,2024-09-01,100.0
Bangladesh (12kg cylinder),Tk/cylinder,2024-09-01,1421.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2024-09-01,34.97
Belize (100 lbs),BEL$/cylinder,2024-09-01,116.82
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2024-09-01,10667.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2024-09-01,5757.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2024-09-01,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2024-09-01,106.04
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2024-09-01,100.72
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2024-09-01,96.94
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2024-09-01,5500.0
Cabo Verde (per kg), ECV/Kg,2024-09-01,141.8
Cameroon (12.5kg cylinder),XAF/cylinder,2024-09-01,6500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2024-09-01,13551.4925373134
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2024-09-01,13588.0
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2024-09-01,2000.0
Curacao (100 lb bottle),NAF per 100 lb bottle,2024-09-01,80.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2024-09-01,16.0
Egypt (LGP 12.5kg),EGP/cylinder,2024-09-01,100.0
Egypt (LGP 25kg),EGP/cylinder,2024-09-01,140.0
El Salvador (10 lbs)- commercial,US$/cylinder,2024-09-01,4.61
El Salvador (10 lbs)- hh,US$/cylinder,2024-09-01,0.0
El Salvador (20 lbs)- commercial,US$/cylinder,2024-09-01,8.98
El Salvador (20 lbs)- hh,US$/cylinder,2024-09-01,0.94
El Salvador (25 lbs) - commercial,US$/cylinder,2024-09-01,11.13
El Salvador (25 lbs) - hh,US$/cylinder,2024-09-01,3.09
El Salvador (35 lbs) - commercial,US$/cylinder,2024-09-01,15.5
El Salvador (35 lbs) - hh,US$/cylinder,2024-09-01,7.46
French Guiana ,EUR per 12.5 kg bottle,2024-09-01,22.91
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2024-09-01,39.63
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2024-09-01,14.86
Fiji (LPG per kg wholesale),Fiji dollar per kg,2024-09-01,3.06
Gabon (12.5kg cylinder),XAF/cylinder,2024-09-01,4950.0
Ghana (based on biweekly price survey),GHS/kg,2024-09-01,15.62257463859649
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2024-09-01,40.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2024-09-01,110.0
Honduras (LPG 25lb),HNL/cylinder,2024-09-01,238.13
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2024-09-01,803.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2024-09-01,803.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2024-09-01,299.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2024-09-01,299.5
Jamaica (Butane),JMD/liter,2024-09-01,81.4369
Jamaica (Propane),JMD/liter,2024-09-01,71.4111
Jordan (LPG - 12.5kg),JD/CY,2024-09-01,7.0
Malawi ,MWK/kg,2024-09-01,3245.0
Malaysia (10 kg cylinder),RM/cylinder,2024-09-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2024-09-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2024-09-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2024-09-01,26.53
Mauritania (12kg cylinder),MRU/cylinder,2024-09-01,30.0
Mauritius (LPG 12kg),RS/cylinder,2024-09-01,190.0
Mauritius (LPG 5kg),RS/cylinder,2024-09-01,80.0
Mauritius (LPG 6kg),RS/cylinder,2024-09-01,95.0
Mexico  - Baja California Region (Tijuana),peso/kg,2024-09-01,19.58915974196583
Mexico  - Mexico Region,peso/kg,2024-09-01,19.214137871019282
Mexico  - Mexico City,peso/kg,2024-09-01,18.998821526583058
Mozambique,metical/kg,2024-09-01,86.05
Nicaragua (LPG 25lb),córdobas/cylinder,2024-09-01,452.4264705882353
Niger (12.5 kg cylinder),XOF/cylinder,2024-09-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2024-09-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2024-09-01,1800.0
Niger (per kg),XOF/kg,2024-09-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2024-09-01,6690.625
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2024-09-01,6975.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2024-09-01,6133.333333333333
Peru (10kg),soles/cylinder,2024-09-01,55.40111111111111
Peru (45kg),soles/cylinder,2024-09-01,207.53541666666666
Peru (5kg),soles/cylinder,2024-09-01,25.041666666666668
Saudi Arabia (Gas Cylinder LPG (I think 16 kg see https://www.argaam.com/en/article/articledetail/id/524074)),SAR/cylinder,2024-09-01,21.85
Senegal (6kg cylinder),XOF/cylinder,2024-09-01,2885.0
South Africa - Coastal Regions,South African cents/kg,2024-09-01,3289.0
South Africa - Gauteng Region,South African cents/kg,2024-09-01,3585.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2024-09-01,22.508693333333333
Thailand (LPG cooking) - Retail Price,Baht/kg,2024-09-01,25.87
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2024-09-01,22.508693333333333
Thailand (LPG industry) - Retail Price,Baht/kg,2024-09-01,25.8667
Uruguay,UYU/kg,2024-09-01,80.75
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2024-09-01,70.0
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2024-09-01,280.0
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2024-09-01,30.0
Zimbabwe,ZWL/kg,2024-09-01,24.45
Zimbabwe,USD/L,2024-09-01,1.78
Angola (LPG) ,kwanzas/kg,2024-10-01,100.0
Bangladesh (12kg cylinder),Tk/cylinder,2024-10-01,1456.0
Barbados (LPG 20 lb cylinder),BDS/cylinder,2024-10-01,34.97
Belize (100 lbs),BEL$/cylinder,2024-10-01,116.53
Belize (rural areas),BEL$/gallon,2024-10-01,5.44
Belize (urban areas),BEL$/gallon,2024-10-01,5.34
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2024-10-01,10667.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2024-10-01,5757.0
Bolivia (10kg LPG bottle) ,Bs/bottle ,2024-10-01,22.5
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2024-10-01,106.57
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2024-10-01,101.35
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2024-10-01,96.55
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2024-10-01,5500.0
Cabo Verde (per kg), ECV/Kg,2024-10-01,143.8
Cameroon (12.5kg cylinder),XAF/cylinder,2024-10-01,6500.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2024-10-01,13354.4776119403
